token_index,folio,section,eva_token,prefix,root,suffix,latin_value,interpretation,exploratory_recognized,strict_parsed,failure_reason
1,f1r,Botanical,fachys,,,,,,Yes,No,not_full_token_parse
2,f1r,Botanical,ykal,,,,,,Yes,No,not_full_token_parse
3,f1r,Botanical,ar,,ar,,radius,수선(radius),Yes,Yes,
4,f1r,Botanical,ataiin,,,,,,Yes,No,not_full_token_parse
5,f1r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
6,f1r,Botanical,shory,,shor,y,suber,코르크(suber) + adjective,Yes,Yes,
7,f1r,Botanical,res,,,,,,Yes,No,not_full_token_parse
8,f1r,Botanical,y,,,,,,No,No,not_full_token_parse
9,f1r,Botanical,kor,,,,,,Yes,No,not_full_token_parse
10,f1r,Botanical,sholdy,,shol,dy,suber,코르크(suber) + of (de),Yes,Yes,
11,f1r,Botanical,sory,,sor,y,succus-,수액감소(succus-) + adjective,Yes,Yes,
12,f1r,Botanical,ckhar,,,,,,Yes,No,not_full_token_parse
13,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
14,f1r,Botanical,y,,,,,,No,No,not_full_token_parse
15,f1r,Botanical,kair,,,,,,Yes,No,not_full_token_parse
16,f1r,Botanical,chtaiin,,,,,,Yes,No,not_full_token_parse
17,f1r,Botanical,shar,,,,,,Yes,No,not_full_token_parse
18,f1r,Botanical,ase,,,,,,Yes,No,not_full_token_parse
19,f1r,Botanical,cthar,,cthar,,durus,단단건조(durus),Yes,Yes,
20,f1r,Botanical,cthar,,cthar,,durus,단단건조(durus),Yes,Yes,
21,f1r,Botanical,dan,,,,,,Yes,No,not_full_token_parse
22,f1r,Botanical,syaiir,,,,,,Yes,No,not_full_token_parse
23,f1r,Botanical,sheky,,,,,,Yes,No,not_full_token_parse
24,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
25,f1r,Botanical,ykaiin,,,,,,Yes,No,not_full_token_parse
26,f1r,Botanical,shod,,,,,,Yes,No,not_full_token_parse
27,f1r,Botanical,cthoary,,,,,,Yes,No,not_full_token_parse
28,f1r,Botanical,cthes,,,,,,Yes,No,not_full_token_parse
29,f1r,Botanical,daraiin,,,,,,Yes,No,not_full_token_parse
30,f1r,Botanical,sy,,s,y,est,이다(est) + adjective,Yes,Yes,
31,f1r,Botanical,soiin,,,,,,Yes,No,not_full_token_parse
32,f1r,Botanical,oteey,,ot,eey,exterior,표면(exterior) + of (emphatic),Yes,Yes,
33,f1r,Botanical,oteo,,oteo,,exterior (seasonal),외층(계절)(exterior (seasonal)),Yes,Yes,
34,f1r,Botanical,roloty,,,,,,Yes,No,not_full_token_parse
35,f1r,Botanical,cthiar,,,,,,Yes,No,not_full_token_parse
36,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
37,f1r,Botanical,okaiin,,,,,,Yes,No,not_full_token_parse
38,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
39,f1r,Botanical,okan,,,,,,Yes,No,not_full_token_parse
40,f1r,Botanical,sair,,,,,,Yes,No,not_full_token_parse
41,f1r,Botanical,y,,,,,,No,No,not_full_token_parse
42,f1r,Botanical,chear,,ch,ear,cortex,수피(cortex) + +radius (emphatic),Yes,Yes,
43,f1r,Botanical,cthaiin,,,,,,Yes,No,not_full_token_parse
44,f1r,Botanical,cphar,,,,,,Yes,No,not_full_token_parse
45,f1r,Botanical,cfhaiin,,,,,,Yes,No,not_full_token_parse
46,f1r,Botanical,ydaraishy,,,,,,Yes,No,not_full_token_parse
47,f1r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
48,f1r,Botanical,cphoy,,,,,,Yes,No,not_full_token_parse
49,f1r,Botanical,oydar,,,,,,Yes,No,not_full_token_parse
50,f1r,Botanical,sh,,sh,,suber,코르크(suber),Yes,Yes,
51,f1r,Botanical,s,,s,,est,이다(est),Yes,Yes,
52,f1r,Botanical,cfhoaiin,,,,,,Yes,No,not_full_token_parse
53,f1r,Botanical,shodary,,,,,,Yes,No,not_full_token_parse
54,f1r,Botanical,yshey,y,sh,ey,suber,[지시(그-)] + 코르크(suber) + from/at,Yes,Yes,
55,f1r,Botanical,shody,,sh,ody,suber,코르크(suber) + -ward/direction,Yes,Yes,
56,f1r,Botanical,okchoy,,,,,,Yes,No,not_full_token_parse
57,f1r,Botanical,otchol,,,,,,Yes,No,not_full_token_parse
58,f1r,Botanical,chocthy,,,,,,Yes,No,not_full_token_parse
59,f1r,Botanical,os,,,,,,Yes,No,not_full_token_parse
60,f1r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
61,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
62,f1r,Botanical,chor,,chor,,cortex,수피(cortex),Yes,Yes,
63,f1r,Botanical,kos,,,,,,Yes,No,not_full_token_parse
64,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
65,f1r,Botanical,shos,,,,,,Yes,No,not_full_token_parse
66,f1r,Botanical,cfhol,,,,,,Yes,No,not_full_token_parse
67,f1r,Botanical,shody,,sh,ody,suber,코르크(suber) + -ward/direction,Yes,Yes,
68,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
69,f1r,Botanical,os,,,,,,Yes,No,not_full_token_parse
70,f1r,Botanical,teody,,,,,,Yes,No,not_full_token_parse
71,f1r,Botanical,cphesaiin,,,,,,Yes,No,not_full_token_parse
72,f1r,Botanical,ols,,,,,,Yes,No,not_full_token_parse
73,f1r,Botanical,cphey,,,,,,Yes,No,not_full_token_parse
74,f1r,Botanical,ytain,,,,,,Yes,No,not_full_token_parse
75,f1r,Botanical,shoshy,,,,,,Yes,No,not_full_token_parse
76,f1r,Botanical,cphodal,,,,,,Yes,No,not_full_token_parse
77,f1r,Botanical,es,,,,,,Yes,No,not_full_token_parse
78,f1r,Botanical,oksho,,,,,,Yes,No,not_full_token_parse
79,f1r,Botanical,kshoy,,,,,,Yes,No,not_full_token_parse
80,f1r,Botanical,otairin,,,,,,Yes,No,not_full_token_parse
81,f1r,Botanical,oteol,,ot,eol,exterior,표면(exterior) + +lignum,Yes,Yes,
